@title,Bahasa Indonesia
#01408,A Tip from Fluff E. Sheep<br>My measurements are<br>123.123.123. But don't<br>tell anybody!
#01409,Dream House Days
#01410,net.kairosoft.android.apart_ja
#01411,net.kairosoft.android.apart_en
#01412,net.kairosoft.android.okashi_ja
#01413,Beastie Bay
#01414,net.kairosoft.android.mujin
#01415,net.kairosoft.android.mujin_en
#01416,Pocket League Story 2
#01417,net.kairosoft.android.soccer2_ja
#01418,net.kairosoft.android.soccer2_en
#01419,Game Dev Story
#01420,net.kairosoft.android.gamedev3
#01421,net.kairosoft.android.gamedev3en
#01422,Dungeon Village
#01423,net.kairosoft.android.bouken_ja
#01424,net.kairosoft.android.bouken_en
#01425,Hot Springs Story
#01426,net.kairosoft.android.onsen_ja
#01427,net.kairosoft.android.onsen_en
#01428,Pocket League Story
#01429,net.kairosoft.android.soccer_ja
#01430,net.kairosoft.android.soccer_en
#01431,Venture Towns
#01432,net.kairosoft.android.zaibatu3
#01433,Pocket Stables
#01434,net.kairosoft.android.horse_ja
#01435,net.kairosoft.android.horse_en
#01436,Grand Prix Story
#01437,net.kairosoft.android.paddock_ja
#01438,net.kairosoft.android.paddock_en
#01439,The Sushi Spinnery
#01440,net.kairosoft.android.sushi_ja
#01441,net.kairosoft.android.sushi_en
#01442,Ninja Village
#01443,net.kairosoft.android.ninja_ja
#01444,net.kairosoft.android.ninja_en
#01445,Pocket Academy
#01446,net.kairosoft.android.school2_ja
#01447,net.kairosoft.android.school2_en
#01448,Cafeteria Nipponica
#01449,net.kairosoft.android.restaurant_ja
#01450,net.kairosoft.android.restaurant_en
#01451,Pocket Clothier
#01452,net.kairosoft.android.fukuya_ja
#01453,net.kairosoft.android.fukuya_en
#01454,World Cruise Story
#01455,net.kairosoft.android.cruise_ja
#01456,net.kairosoft.android.cruise_en
#01457,Oh!Edo Towns
#01458,net.kairosoft.android.edotowns
#01459,Pocket Harvest
#01460,net.kairosoft.android.noujou_ja
#01461,net.kairosoft.android.noujou_en
#01462,Mega Mall Story
#01463,net.kairosoft.android.depart_ja
#01464,net.kairosoft.android.depart_en
#01465,Kairobotica
#01466,net.kairosoft.android.starkairo_ja
#01467,net.kairosoft.android.starkairo_en
#01468,Epic Astro Story
#01469,net.kairosoft.android.frontier_ja
#01470,net.kairosoft.android.frontier_en
#01471,The Pyraplex
#01472,net.kairosoft.android.pyramid_ja
#01473,net.kairosoft.android.pyramid_en
#01474,net.kairosoft.android.ccbokujou
#01475,net.kairosoft.android.school1_ja
#01476,net.kairosoft.android.magazine_ja
#01477,net.kairosoft.android.snsdev_ja
#01478,Treasure Chest
#01479,Wooden Chest
#01480,Sturdy Barrel
#01481,Soft Cloth
#01482,Mystery Medicine
#01483,Rusty Weapon
#01484,Edible Meat
#01485,Bushy Grass
#01486,Burlap Sack
#01487,Hard Rock
#01488,Meat Chop
#01489,Seadog
#01490,Moves and works quickly.
#01491,Sailor
#01492,Ship speed +2 (max 10).
#01493,Pirate
#01494,Resources found at islands +10.
#01495,Cook
#01496,Stamina recovery -10 sec (max -60).
#01497,Farmer
#01498,"Get double yield from fields, etc."
#01499,Trader
#01500,Open an item shop on board.
#01501,Smith
#01502,Open a weapon shop on board.
#01503,Fisher
#01504,Get more research items from battle.
#01505,Joiner
#01506,Reduce island facility building time.
#01507,Rogue
#01508,Axe equipped = easy to trigger aura.
#01509,Cadet
#01510,Get double quest XP.
#01511,Boxer
#01512,Half of speed is added to attack.
#01513,Archer
#01514,Heavy bows go thru to back row.
#01515,Priest
#01516,Half of intelligence is added to attack.
#01517,Clown
#01518,Stuns when damaged (uses SP).
#01519,Nomad
#01520,Quest stamina -1 (max 2).
#01521,Genius
#01522,Open armor shop on board.
#01523,Gunman
#01524,Can quickly shoot heavy guns.
#01525,Lancer
#01526,Spear attacks remove enemy auras.
#01527,Mage
#01528,Can attack from rear with a wand.
#01529,=#00243
#01530,Gives aura value to front line.
#01531,Doctor
#01532,Cost to hire crew -5% (max 30%).
#01533,Bookie
#01534,Dice Game cost -1 medal (max 2).
#01535,Sniper
#01536,Use cannons in ship battles (max 3).
#01537,Thief
#01538,"If returns from quest alive, gold x4."
#01539,Pilot
#01540,Stamina for sailing -1 (max 2).
#01541,Seer
#01542,Get +2 items when doing research.
#01543,Dancer
#01544,Absorbs 5 SP when attacking.
#01545,Viking
#01546,Recovers 5% of damage done.
#01547,Wizard
#01548,Can bring monsters on quests.
#01549,Major
#01550,Cause x1.25 damage to monsters.
#01551,Fencer
#01552,Heavy blade attacks go thru to rear.
#01553,Outlaw
#01554,Heavy hammer attacks go thru to rear.
#01555,Noble
#01556,"Get gold when attacking, by level."
#01557,Golem
#01558,Heavy axe attacks go thru to rear.
#01559,Ninja
#01560,Can chain light blade attacks.
#01561,Hero
#01562,Can slash with heavy blades.
#01563,Ruler
#01564,Doubles unit's aura duration.
#01565,Dealer
#01566,Open accessory shop on board.
#01567,Tycoon
#01568,"Facility use gives gold, by level."
#01569,Rebel
#01570,Can slash with non-heavy blades.
#01571,Killer
#01572,No armor = always has an aura.
#01573,Furry
#01574,Can attack quickly with hammers.
#01575,Monkey
#01576,"With aura, attack x.5, defense x4."
#01577,Robot
#01578,"With aura, attack x1.5, defense x.25."
#01579,Dueler
#01580,Counterattack on guard (uses SP).
#01581,Sumo
#01582,Cancel enemy support skills (uses SP).
#01583,Prof.
#01584,Hvy wpn = Reduce SP by 10% (uses SP).
#01585,Fiend
#01586,Axes do x2 damage to monsters (uses SP).
#01587,Euripitan Union
#01588,"The first country, with many islands."
#01589,Armonica
#01590,A frigid region.<br>Requires <0> population.
#01591,Meripito
#01592,A kingdom with a warm climate.<br>Requires <0> population.
#01593,Treelania
#01594,A heavily wooded continent.<br>Requires <0> population.
#01595,Kairo Islands
#01596,Robots are sometimes seen here.<br>Requires <0> population.
#01597,Umadbro Islands
#01598,Islands with steep mountains.<br>Requires <0> population.
#01599,Pirate Seas
#01600,A region infested by pirates.<br>Requires <0> population.
#01601,Unexplored Area
#01602,Recover Stamina
#01603,Fully recover stamina for 2 medals!
#01604,Create Replay Data
#01605,Create replay data for a new game.<br>* Medals are not carried over.
#01606,Quest Team +1
#01607,Add one more quest team.
#01608,Turbo Mode +10 min.
#01609,Speed up ship/characters for 10 minutes.<br>May not work with all devices.
#01610,Job Change Set
#01611,Book Set 1
#01612,"=MID(#01611,1,-1)&'2'"
#01613,Smith Ticket Set 1
#01614,"=MID(#01613,1,-1)&'2'"
#01615,Incubator Set
#01616,Egg Dye Set
#01617,Rare Egg Dye Set
#01618,Egg Bleach Set
#01619,Rare Egg Bleach Set
#01620,Skill Tonic Set
#01621,Rare Item Set 1
#01622,"=MID(#01621,1,-1)&'2'"
#01623,Food Series 1
#01624,"=MID(#01623,1,-1)&'2'"
#01625,Affordable Set
#01626,Legend Series
#01627,Kairobot Set
#01628,Bearington Set
#01629,Monkey Set
#01630,Daisy's Bow Set
#01631,Prin's Spear Set
#01632,Wairo Shield Set
#01633,Max Inventory Up
#01634,Increase the maximum<br>of each item by 10.
#01635,Ability Sphere Set G
#01636,Ability Sphere Set F
#01637,Ability Sphere Set E
#01638,Ability Sphere Set D
#01639,Ability Sphere Set C
#01640,Ability Sphere Set B
#01641,Ability Sphere Set A
#01642,Ability Sphere Set S
#01643,Monster Flute Set
#01644,Rename Set
#01645,Combat Assignment
#01646,Adds a command to freely arrange<br>characters in quests or online battles.
#01647,Cheer Speed Up
#01648,Increases CP recovery by 20%<br>during online battle cheers.
#01649,Quest Cheers On
#01650,Makes it possible to use cheers in quests.
#01651,Add Onboard Monsters
#01652,Increases max number of monsters<br>on your ship by 2 (1 combat).
#01653,=#01641
#01654,Speed-up of research
#01655,Research time will be speed up.
#01656,=#01501
#01657,Jones
#01658,Drake
#01659,Kane
#01660,Levine
#01661,Kent
#01662,Buckley
#01663,=#01503
#01664,Ramsey
#01665,Ross
#01666,Reeves
#01667,Elliot
#01668,Montoya
#01669,Lewis
#01670,Flores
#01671,Dale
#01672,Silver
#01673,Patton
#01674,Porter
#01675,Mooney
#01676,Shields
#01677,Maxwell
#01678,Clark
#01679,Sparks
#01680,Westin
#01681,Farrell
#01682,Perry
#01683,Shaw
#01684,Kidd
#01685,=#01555
#01686,Barton
#01687,Sanders
#01688,Weber
#01689,Miller
#01690,Weaver
#01691,Gillespie
#01692,Stark
#01693,Bennet
#01694,Steele
#01695,Bell
#01696,Garcia
#01697,Austin
#01698,Bentley
#01699,Aaron
#01700,Andrew
#01701,Bryan
#01702,Charles
#01703,Colin
#01704,Danny
#01705,Everett
#01706,Frank
#01707,Hector
#01708,Ian
#01709,James
#01710,Jacob
#01711,Kevin
#01712,Matt
#01713,Mike
#01714,Nate
#01715,Neil
#01716,Josh
#01717,Peter
#01718,Paul
#01719,Richard
#01720,Rocky
#01721,Ally
#01722,Beatriz
#01723,Belinda
#01724,Brenna
#01725,Caitlin
#01726,Cheryl
#01727,Cynthia
#01728,Dalia
#01729,Dora
#01730,Erica
#01731,Erin
#01732,Grace
#01733,Irene
#01734,Jen
#01735,Jill
#01736,Kara
#01737,Kelly
#01738,Laurel
#01739,Lianna
#01740,Lizzy
#01741,Lola
#01742,=#01717
#01743,=#01718
#01744,=#01719
#01745,=#01720
#01746,Stephen
#01747,Troy
#01748,Hans
#01749,Liam
#01750,Tim
#01751,Jeff
#01752,Dave
#01753,Ethan
#01754,Alma
#01755,Maria
#01756,Shana
#01757,Sheri
#01758,Tracy
#01759,Wendy
#01760,Hannah
#01761,Pat
#01762,Chris
#01763,Alex
#01764,Casey
#01765,Jamie
#01766,Alfie
#01767,Robin
#01768,Ray
#01769,Rupert
#01770,Stewart
#01771,Bob
#01772,Arvin
#01773,Luke
#01774,George
#01775,Billy
#01776,Daisy
#01777,Rachel
#01778,Holly
#01779,Julie
#01780,Kristen
#01781,Elaine
#01782,Mia
#01783,Sharon
#01784,May
#01785,Maisy
#01786,Gina
#01787,Zelda
#01788,Rare Knowledge Item
#01789,Knowledge Item
#01790,Egg Goods
#01791,Yummy Food
#01792,=#01154
#01793,Very Rare Food
#01794,Smith Ticket
#01795,=#01146
#01796,=#01148
#01797,=#01150
#01798,=#01152
#01799,=#01154
#01800,=#01156
#01801,=#01158
#01802,Affordable Equipment
#01803,1 Medal
#01804,Kairo Pts
#01805,Egg
#01806,=#01318
#01807,Bring back <0>G.
#01808,Master at least <0> jobs.
#01809,Visit <0> new islands.
#01810,Reach <0> population.
#01811,Reach fleet rank of <0>.
#01812,Discover <0> jobs.
#01813,Defeat <0> enemies.
#01814,Have <0> medals.
#01815,Build <0> onboard facilities.
#01816,Clear <0> quests.
#01817,Recruit <0> crewmates.
#01818,Play 2 days in a row (A).
#01819,Play 5 days in a row (A).
#01820,Play 2 days in a row (B).
#01821,Play 3 days in a row (A).
#01822,Play 4 days in a row.
#01823,Play 5 days in a row (B).
#01824,Play 6 days in a row.
#01825,Play 7 days in a row.
#01826,Play 8 days in a row.
#01827,Play 9 days in a row.
#01828,Play 10 days in a row.
#01829,Play 20 days in a row.
#01830,Play 25 days in a row.
#01831,Play 30 days in a row.
#01832,Play 3 days in a row (B).
#01833,Play 11 days in a row.
#01834,Play 12 days in a row.
#01835,Play 13 days in a row.
#01836,Play 14 days in a row.
#01837,Play 15 days in a row.
#01838,Play 16 days in a row.
#01839,Play 17 days in a row.
#01840,Play 18 days in a row.
#01841,Play 19 days in a row.
#01842,Play 21 days in a row.
#01843,Play 22 days in a row.
#01844,Play 23 days in a row.
#01845,Play 24 days in a row.
#01846,Play 26 days in a row.
#01847,Play 27 days in a row.
#01848,Play 28 days in a row.
#01849,Play 29 days in a row.
#01850,Play 35 days in a row.
#01851,Play 40 days in a row.
#01852,Play 45 days in a row.
#01853,Play 50 days in a row.
#01854,Play 55 days in a row.
#01855,Play 60 days in a row.
#01856,Win <0> online battle(s).
#01857,Lose <0> online battle(s).
#01858,Have at least <0> Kairo Pts.
#01859,High Sea Saga Master
#01860,Mastered the game.
#01861,Get <0> Guidebook entries.
#01862,Destroy <0> enemy ships.
#01863,Play 62 days in a row.
#01864,Play 64 days in a row.
#01865,Play 66 days in a row.
#01866,Play 68 days in a row.
#01867,Play 70 days in a row.
#01868,Play 72 days in a row.
#01869,Play 74 days in a row.
#01870,Play 76 days in a row.
#01871,Play 78 days in a row.
#01872,Play 80 days in a row.
#01873,Play 82 days in a row.
#01874,Play 84 days in a row.
#01875,Play 86 days in a row.
#01876,Play 88 days in a row.
#01877,Play 90 days in a row.
#01878,Play 92 days in a row.
#01879,Play 94 days in a row.
#01880,Play 96 days in a row.
#01881,Play 98 days in a row.
#01882,Play 100 days in a row.
#01883,Play 102 days in a row.
#01884,Play 104 days in a row.
#01885,Play 106 days in a row.
#01886,Play 108 days in a row.
#01887,Play 110 days in a row.
#01888,Play 112 days in a row.
#01889,Play 114 days in a row.
#01890,Play 116 days in a row.
#01891,Play 118 days in a row.
#01892,Play 120 days in a row.
#01893,Play 122 days in a row.
#01894,Play 124 days in a row.
#01895,Play 126 days in a row.
#01896,Play 128 days in a row.
#01897,Play 130 days in a row.
#01898,Play 132 days in a row.
#01899,Play 134 days in a row.
#01900,Play 136 days in a row.
#01901,Play 138 days in a row.
#01902,Play 140 days in a row.
#01903,Play 142 days in a row.
#01904,Play 144 days in a row.
#01905,Play 146 days in a row.
#01906,Play 148 days in a row.
#01907,Play 150 days in a row.
#01908,Eager Girl
#01909,Genial Girl
#01910,Old Maid
#01911,Healthy Youth
#01912,Adventurous Kid
#01913,Pretty Girl
#01914,Dumpling Girl
#01915,Naughty Prince
#01916,Traveling Merchant
#01917,Skilled Merchant
#01918,Mermaid
#01919,Moving Armor
#01920,Old Handyman
#01921,Animal Lover
#01922,Prince Key
#01923,Evil Robot
#01924,Princess Ham
#01925,King's Letter
#01926,First Quest
#01927,Boss Quest
#01928,Beginner Quest
#01929,Novice Quest
#01930,Hidden Intro Quest
#01931,Hidden Medium Quest
#01932,Hidden Novice Quest
#01933,Starter Quest
#01934,Hidden Veteran Quest
#01935,Intro Quest
#01936,Medium Quest
#01937,Veteran Quest
#01938,Hidden Expert Quest
#01939,Hidden Fierce Quest
#01940,Hidden Supreme Quest
#01941,Expert Quest
#01942,Fierce Quest
#01943,Hidden Rare Quest
#01944,Supreme Quest
#01945,Hidden Legend Quest
#01946,Heavy Quest
#01947,Rare Quest
#01948,Hidden Ultimate Quest
#01949,Buccaneer Quest
#01950,Kairo Quest
#01951,Hidden Kairo Quest
#01952,Mini-Map
#01953,Hatchling Pirates
#01954,Blacktail Pirates
#01955,Seagull Pirates
#01956,Penguin Pirates
#01957,Free Dive Pirates
#01958,Fluffy Pirates
#01959,Opportunity Pirates
#01960,Je t'aime Pirates
#01961,Love Pirates
#01962,Lullaby Pirates
#01963,Seasick Pirates
#01964,Patissier Group
#01965,Thrill Pirates
#01966,Eastern Pirates
#01967,Rowdy Pirates
#01968,Punk Pirates
#01969,Innocent Pirates
#01970,Lion Pirates
#01971,Friendly Pirates
#01972,Million Union
#01973,Sprout Fishermen
#01974,Bluffing Pirates
#01975,Pudding Pirates
#01976,Whirlpool Pirates
#01977,Deck
#01978,Stairs
#01979,Pillar
#01980,Floor Panel
#01981,Increase walking speed.
#01982,Cabin
#01983,A space for the crew to sleep.
#01984,A cabin where islanders can shop.
#01985,Aid Station
#01986,Boosts recovery for nearby crew.
#01987,=#01984
#01988,Hold
#01989,A place to store important booty.
#01990,Large Hold
#01991,Mess Hall
#01992,Where the crew eats and recovers.
#01993,Lab
#01994,Converts hold items to treasure.
#01995,Unused
#01996,Dojo
#01997,Learn melee fighting techniques.
#01998,Pool
#01999,Train by swimming laps.
#02000,Dance Hall
#02001,Train with spirited dancing.
#02002,Kitchen
#02003,Helps with a balanced diet.
#02004,Shooting Range
#02005,Learn ranged fighting techniques.
#02006,Master Dojo
#02007,Chapel
#02008,Pray for a safe journey.
#02009,Museum
#02010,Displays replicas of treasures.
#02011,News Room
#02012,Get news from around the world.
#02013,Bath
#02014,Recover with a nice warm bath.
#02015,Library
#02016,Learn world history.
#02017,Map Room
#02018,Learn about surveying.
#02019,Study
#02020,Think about ship management.
#02021,Art Room
#02022,Nurture your artistic side.
#02023,Mail Room
#02024,With cutting-edge technology.
#02025,Ammo Room
#02026,For polishing cannonballs.
#02027,Juice Bar
#02028,Serves fresh juices.
#02029,Tackle Room
#02030,Has the best fishing equipment.
#02031,Chat Room
#02032,Relax and talk with others.
#02033,Lavatory
#02034,Boosts motivation for work.
#02035,Training Room
#02036,Get combat training.
#02037,Monster Nest
#02038,"A nest. You, know, for monsters..."
#02039,Field
#02040,"Spend gold, get resources."
#02041,Tree Nursery
#02042,Chicken Stall
#02043,Pig Stall
#02044,Cow Stall
#02045,Lamp
#02046,Soft light boosts comfort.
#02047,Bench
#02048,For crewmates to rest on.
#02049,Bush
#02050,Green plants are soothing.
#02051,Tree
#02052,Legendary Sword
#02053,A sword stuck in a boulder.
#02054,Guardian Armor
#02055,Use instead of a guard dog.
#02056,Goddess Statue
#02057,Kindly watches over your crew.
#02058,Fancy Chair
#02059,Makes the user feel...fancy!
#02060,Painting
#02061,Painted by a famous artist.
#02062,Water Jug
#02063,Have a sip of pure water.
#02064,Compass
#02065,Every ship needs one.
#02066,Aquarium
#02067,Enjoy watching the fish.
#02068,Lucky Bird
#02069,Said to bring good luck.
#02070,Brig
#02071,Houses captured prisoners.
#02072,Red Carpet
#02073,Greatly increases walking speed.
#02074,Casino
#02075,Enjoy playing cards.
#02076,Dart Room
#02077,Play darts for a little fun.
#02078,Flowers
#02079,Add a little color to the ship.
#02080,Chain Att.
#02081,Very rarely do a double attack.
#02082,Chain Att. 1
#02083,Sometimes do a double attack.
#02084,"=MID(#02082,1,-1)&'2'"
#02085,Often do a double attack.
#02086,Slash 1
#02087,Very rarely attack the first row.
#02088,"=MID(#02086,1,-1)&'2'"
#02089,Sometimes attack the first row.
#02090,"=MID(#02086,1,-1)&'3'"
#02091,Often attack the first row.
#02092,Ult. Att. 1
#02093,Very rarely attack all enemies.
#02094,"=MID(#02092,1,-1)&'2'"
#02095,Sometimes attack all enemies.
#02096,"=MID(#02092,1,-1)&'3'"
#02097,Often attack all enemies.
#02098,Heal 1
#02099,Very rarely heal during combat.
#02100,"=MID(#02098,1,-1)&'2'"
#02101,Sometimes heal during combat.
#02102,"=MID(#02098,1,-1)&'3'"
#02103,Often heal during combat.
#02104,Haste 1
#02105,Very rarely speed up in combat.
#02106,"=MID(#02104,1,-1)&'2'"
#02107,Sometimes speed up in combat.
#02108,"=MID(#02104,1,-1)&'3'"
#02109,Often speed up in combat.
#02110,Territorial
#02111,Boosts enemy capture rate.
#02112,HP Boost 1
#02113,Increases HP by 30.
#02114,"=MID(#02112,1,-1)&'2'"
#02115,Increases HP by 300.
#02116,SP Boost 1
#02117,Increases SP by 20.
#02118,"=MID(#02116,1,-1)&'2'"
#02119,Increases SP by 50.
#02120,Att. Boost 1
#02121,Increases attack by 30.
#02122,"=MID(#02120,1,-1)&'2'"
#02123,Increases attack by 200.
#02124,Def. Boost 1
#02125,Increases defense by 30.
#02126,"=MID(#02124,1,-1)&'2'"
#02127,Increases defense by 100.
#02128,Spd. Boost 1
#02129,Increases speed by 20.
#02130,"=MID(#02128,1,-1)&'2'"
#02131,Increases speed by 100.
#02132,Int Boost 1
#02133,Increases intelligence by 60.
#02134,All Boost 1
#02135,Increases all parameters by 50.
#02136,"=MID(#02134,1,-1)&'2'"
#02137,Increases all parameters by 100.
#02138,Sword Master
#02139,Boosts sword power.
#02140,Wand Master
#02141,Boosts wand power.
#02142,Axe Master
#02143,Boosts axe power.
#02144,=#00320
#02145,Boosts spear power.
#02146,Hammer Mast.
#02147,Boosts hammer power.
#02148,Gun Master
#02149,Boosts gun power.
#02150,Bow Master
#02151,Boosts bow power.
#02152,Weapon Mast.
#02153,Boosts all weapons' power.
#02154,Packhorse
#02155,Can easily use heavy weapons.
#02156,Thrifty 1
#02157,Find a bit more money.
#02158,"=MID(#02156,1,-1)&'2'"
#02159,Find more money
#02160,Observant
#02161,Find more resources.
#02162,Economical
#02163,Often save on facility use costs.
#02164,=#00363
#02165,Get more XP from island facilities.
#02166,Shipmate
#02167,Easier to level up ship facilities.
#02168,Sea Legs
#02169,Move around the ship a bit faster.
#02170,Defender
#02171,Can equip shields.
#02172,Hermes
#02173,Move around the ship much faster.
#02174,Guardian
#02175,Boost shield guard rate by 15%.
#02176,Hearty
#02177,Boost HP by 25%.
#02178,Disciplined
#02179,Boost SP by 25%.
#02180,Winged Feet
#02181,Boosts speed by 100%.
#02182,Confirm
#02183,Keluar
#02184,Kembali
#02185,Ya
#02186,Tidak
#02187,Cek
#02188,Save
#02189,Menu
#02190,Self
#02191,Top
#02192,Site
#02193,Capture
#02194,Unlock
#02195,Details
#02196,Remove
#02197,Rename
#02198,Rotate
#02199,Mulai
#02200,Switch
#02201,Abbr.
#02202,Peta
#02203,Stats
#02204,Info
#02205,Auto
#02206,Pengaturan
#02207,Bawah
#02208,Atas
#02209,Turn In
#02210,Upgrade
#02211,Crew
#02212,Ikuti
#02213,Max
#02214,=#00019
#02215,To Ship
#02216,=#02070
#02217,Pekerjaan
#02218,Password
#02219,Get!
#02220,Suggest
#02221,Tutup
#02222,Action
#02223,=#01988
#02224,Efek
#02225,Agree
#02226,Terms
#02227,Shuffle
#02228,History
#02229,=#00480
#02230,Default
#02231,Restore
#02232,1-Square Die
#02233,Move ahead 1 square.
#02234,2-Square Die
#02235,Move ahead 2 squares.
#02236,3-Square Die
#02237,Move ahead 3 squares.
#02238,4-Square Die
#02239,Move ahead 4 squares.
#02240,5-Square Die
#02241,Move ahead 5 squares.
#02242,6-Square Die
#02243,Move ahead 6 squares.
#02244,Double Dice
#02245,Roll 2 dice.
#02246,Triple Dice
#02247,Roll 3 dice.
#02248,Peek-a-Boo
#02249,View the contents of all chests.
#02250,Salam pembuka!
,"Saya telah melayani <team> selama 43 tahun, dan sekarang raja telah memerintahkan saya untuk melayani Anda."
,Mari bekerja sama untuk membawa kemuliaan bagi nama <team>!
,"Sekarang, lalu hmmm ... Oh iya raja ingin melihat Anda, ayo ke ruang tahta."
,"Pilih ""<co=0066cc>Ruang Tahta</co>"" dari kiri atas peta."
#02251,Ah! Kamu telah datang! Aku sudah mendengar banyak tentangmu.
,Saya mengerti Anda akan menjadi komando armada  <team>.
,"Dengan bantuan mu, kami akan menjadikan <team> negara paling kuat di dunia!"
#02252,... Ehem. Ada satu hal lagi.
,Akhir-akhir ini sekelompok bajak laut telah menyebabkan masalah di dekat sini.
,Kami baru saja menemukan lokasi <co=0066cc>persembunyian mereka</co>. aku mau kamu mengurus berandalan ini
#02253,Tapi tidak perlu melakukannya sendiri ...
,Ambil medali ini. Kamu bisa menggunakannya di Tavern untuk merekrut kru baru.
#02254,Jadi ... tunggu apa lagi? Pergi <co=0066cc>rekrut kru mu </co>dan urus bajak laut itu.
,"Sekarang Anda dapat memilih ""Tavern"" dari <co=0066cc>""Island"" menu</co>."
#02255,You successfully defeated the pirates.
,I will inform the king at once.
#02256,Ho ho ho! I was observing the battle from the shadows!
,Very impressive. Very impressive indeed! Allow me to present you with one of our country's best ships.
,Now go out there and show the world what <co=0066cc><team></co> is made of!
#02257,What a terrific ship!
,Let's get ready to set sail.
,Tap the <co=0066cc>left key</co> to move inside your ship.
,You'll need to <co=0066cc>build cabins</co> for the crewmates who will be sailing with you.
#02258,"Oh, I almost forgot."
,You can build shops on <co=0066cc>vacant lots</co> on islands.
,I look forward to hearing stories of your exploits!
#02259,Our intelligence agents have brought us some information about the surrounding area.
,Why don't we try exploring a new area?
#02260,Oho!
,It seems that you've fulfilled some of the tasks that I set out for you.
,Well done. Here is your reward.
#02261,Oho!
,It seems that you've fulfilled some of the tasks that I set out for you.
,Well done. Here is your reward.
#02262,Ah! Could that smile mean... Yes!
,It seems that you've fulfilled some of the tasks that I set out for you.
,Well done. Here is your reward.
#02263,Hum de dum... ♪
,"Oh, hello again!"
,It seems that you've fulfilled some of the tasks that I set out for you.
,Well done. Here is your reward.
#02264,...Hm? Oh!
,It seems that you've fulfilled some of the tasks that I set out for you.
,Well done. Here is your reward.
#02265,I may have to pull another all-nighter to come up with more tasks for you.
,Zzz...
#02266,Ho ho ho! I'm very impressed with your performance recently.
,"Now I can sleep soundly, knowing that our country is safe in your hands.<br>Zzz..."
#02267,It's no exaggeration to say that you are the hero of <team>.
,I'll no doubt be up all night trying to come up with a task to challenge you with.
,Zzz...
#02268,"If I were just a couple of years younger, I might join you out on the open sea..."
,Just thinking about your adventures gets me all worked up!<br>Zzz...
#02269,It's time you moved up to a larger ship.
,I've already called our craftsman. He should be here soon... Craftsman!
#02270,"Here I am! Thank you for giving me this chance, Your Highness!"
,I'd like to get started right away.
,It'll be ready in two shakes of a bear's tail!
,Heh heh heh.
#02271,"Ah, it looks like your crew is ready."
,Now allow me to demonstrate my lightning-fast shipbuilding skills!
,This will just take a moment!
,"...Anybody seen the superglue? Oh, I suppose school glue will work in a pinch..."
#02272,It's finished! Now you've got some more room to breathe!
,And now you can have <co=0066cc>one more combat team </co>as well!
,Try recruiting more crewmates to help you on your journey!
,Goodbye. I'm sure we'll meet again!
#02273,That's <0> x<1>. Thanks.
,"When you get enough for an upgrade, we'll start the leveling-up process."
#02274,Oh! It looks like you have all of the required materials.
,We'll start leveling up right away. You'll have to wait a while...
#02275,Wow! That was quite a battle!
,"I got all hot and bothered just watching you fight! Oh, here comes the king!"
#02276,That was... An amazing battle!
,I knew I was right about you! Here. Let me give you a glimpse of my list of tasks.
,Have a good look!
#02277,Try to complete as many of the king's tasks as you can to earn rewards!
,"...By the way, according to what one of the guards was saying, the pirates have a boss."
,We got some information about more advanced quests.
#02278,"Say, it looks like someone dropped this during the battle."
#02279,You got some <co=0066cc>food</co>! Food is indispensible for helping your crewmates develop.
,Give it to a crewmate to help <co=0066cc>power them up</co>!
,It's an <co=0066cc>important source</co> of <co=ff0000>experience points</co>. Use it as much as you can.
,"Now, then. Let's get on with the quest."
#02280,Thank you for your business.
,We'll get right to work. It'll take around <co=0066cc><0></co>.
,Why not kick back and relax for a bit?
#02281,"...Come to think of it, I forgot to tell you something."
,"If you have <co=0066cc>a joiner who's not part of a combat team, </co>you can assign him or her to a construction project."
,It can really cut down on your build time. Think it over.
,Time to get to work! Right after I have a little snack...
#02282,Bearington Corporation is hard at work on the <0> construction project. Please wait for <1>.
#02283,By the way...
,Bearington Corporation will keep working <co=0066cc>even when you're not playing the game.
,So feel free to come back in a little while.
#02284,"Just when this job was getting interesting, I see that we've finished!"
,I think this is some of the best work we've ever done. Use it well!
,Goodbye. I'm sure we'll meet again!
,"Hey, why do we have all these extra parts left over? Eh, whatever..."
#02285,"Ah, you've got it at last, eh?"
,Your reward this time is... Permission to expand your base!
,"When you come back to the island from your next adventure, you'll find that the base has gotten a bit bigger."
,Ho ho ho! Look forward to it!
#02286,"Ah, you've returned."
,"There were a number of issues, but the base expansion we talked about is finally complete."
,What are you going to do with all this extra space?
,I hope you'll keep working for the good of <team>.
#02287,"Ah, you've returned."
,The island expansion is complete. I helped with the construction myself. I need the exercise.
,"Now I'm so ""swole"" that I won the arm wrestling tournament down at the tavern!"
,"You don't think they let me win, do you...? Anyway, enjoy!"
#02288,"Ah, you've returned."
,"With my new talent for construction, I decided to handle this expansion project all by myself."
,I think I've found my true calling.
,There's nothing I can't build with these two hands! Keep up the good work!
#02289,"Ah, you've returned."
,I'm afraid I pushed myself a little too hard with my last construction job...
,I've been bedridden for days... I guess you can't fight Father Time...
,"Good luck in your adventures, but be careful not to overdo it..."
#02290,You got a secret message from the king!
#02291,Hello.
,"My advisors have come up with some new tasks for you, so feel free to stop by the castle anytime."
,"I'll be waiting! Signed, The King"
